WeGlide ID,Muster,Polare,Kennzeichen,Jahr,Masse90kg,MaximaleMasse,Klasse,DMSt_Index_2019
108,Discus 2c,Discus_2C_DLR_18m.POL,D-9833,2015,410,565,18m,114
480,AFH24,AFH24.POL,D-0024,1993,335,500,Std,104
256,AK5,AK5.POL,D-8905,1990,372.2,485,Club,102
395,ASH 25 (25m),ASH25.POL,D-1025,1986,650,750,Offen,122
395,ASH 25 MB,ASH25MB.POL,D-KOWB,1986,650,750,Offen,122
91,ASH 26,ASH26.POL,D-2603,1994,360,525,18m,117
395,ASH 25 (25m),ASH2586.POL,D-1025,1986,650,750,Offen,122
305,ASK 13,ASK13.POL,D-2018,1968,476,480,Doppel,79
292,ASK 21,ASK21.POL,D-2855,1980,540,600,Doppel,92
292,ASK 21,ASK2180.POL,00-ZLN,1980,540,600,Doppel,92
152,G 102 Astir CS,ASTIRCS.POL,D-7290,1975,345,450,Club,96
438,ASW 12,ASW12.POL,D-0074,1968,414,430,Offen,110
513,ASW 15,ASW15.POL,D-0510,1971,320,408,Club,97
513,ASW 15,ASW1572.POL,D-0510,1972,320,408,Club,97
426,ASW 17,ASW17.POL,D-1110,1973,490,610,Offen,115
426,ASW 17,ASW1773.POL,D-2119,1973,490,610,Offen,115
263,ASW 19,ASW19.POL,D-4525,1976,350,408,Club,100
514,ASW 19B,ASW19B.POL,D-7615,1980,350,408,Club,100
34,ASW 20,ASW20.POL,D-7474,1978,372,500,Club,110
34,ASW 20C,ASW20C.POL,D-4859,1988,372,525,Club,110
34,ASW 20,ASW2078.POL,D-7952,1978,372,525,Club,110
34,ASW 20B,ASW2087B.POL,D-7952,1978,372,525,Club,110
34,ASW 20C,ASW20C83.POL,D-2410,1983,372,525,Club,110
34,ASW 20C,ASW20C85.POL,D-8709,1985,372,525,Club,110
34,ASW 20C,ASW20C87.POL,D-4859,1987,372,525,Club,110
407,ASW 22 (24m),ASW22.POL,D-2270,1982,500,750,Offen,121
376,ASW 22BL (27m),ASW22_27.POL,D-2322,1996,555,750,Offen,124
387,ASW 22B (25m),ASW22B.POL,D-2255,1987,555,750,Offen,123
418,ASW 22M (22m),ASW22M.POL,D-KBBY,1983,490,750,Offen,119
463,ASW 24,ASW24.POL,D-1124,1989,365,500,Club,107
485,ASW 24 (WL),ASW24WL.POL,D-6416,1992,365,500,Club,108
12,ASW 27,ASW27.POL,D-8115,1997,335,500,15m,114
553,Pilatus B4,B4.POL,HB-1127,1973,320,350,Club,88
353,B12,B12.POL,D-7612,1978,618,620,Doppel,106
445,B13,B13.POL,D-KILU,1992,759,820,Offen,109
301,Bergfalke 4,BERGFAL4.POL,D-1005,1975,492,505,Doppel,80
318,Bergfalke,BERGFALK.POL,D-1217,1964,430,430,Doppel,74
312,SZD-9 Bocian,BOCIAN.POL,D-1587,1964,540,540,Doppel,76
351,Calif,CALIF.POL,D-2176,1975,616,644,Offen,108
174,Carat,CARAT.POL,D-KCTF,1998,440,490,TMG,93
264,Cirrus (15m),CIRRUS15.POL,-,-,292,390,Club,99
264,Cirrus (15m),CIRRUS15_2.POL,-,-,292,390,Club,99
276,Cirrus (16m),CIRRUS16.POL,D-3261,1974,310,390,Club,100
261,Glasflügel 206 Hornet,HORNET.POL,D-7816,1976,335,420,Club,100
261,Glasflügel 206 Hornet,HORNET86.POL,D-7817,1986,335,420,Club,100
261,Glasflügel 206 Hornet C,HORNETC.POL,D-7597,1979,335,420,Club,100
266,D37,D37.POL,D-KEDD,1976,390,460,Club,100
142,D38,D38.POL,D-0938,1974,290,360,Club,97
54,D40,D40.POL,D-3940,1988,374,500,Club,106
279,D43 18m,D43_18m.POL,D-7543,2015,660,700,Doppel,99
267,DG-100G,DG100G.POL,D-6100,1978,320,418,Club,100
267,DG-100,DG10075.POL,D-7099,1975,320,418,Club,100
267,DG-100,DG10076.POL,D-1076,1976,320,418,Club,100
48,DG-200,DG200.POL,D-6781,1978,320,450,18m,107
124,DG-202 (17m),DG20217.POL,D-3796,1980,341,450,18m,109
481,DG-300,DG300.POL,D-1300,1984,335,450,Std,104
481,DG-303,DG303.POL,HB-3190,1997,335,450,Std,104
125,DG-400 (17m),DG400.POL,D-KCHE,1984,400,460,18m,108
361,DG-500 (20m WL),DG500_20.POL,D-3196,1993,620,750,Doppel,104
361,DG-500 (20m WL),DG500GPS.POL,D-3196,1995,620,750,Doppel,104
366,DG-500 (18m),DG500TRA.POL,D-5007,1991,580,750,Doppel,100
53,DG-600 (15m WL),DG6015WL.POL,D-1913,1990,360,525,15m,110
53,DG-600 (15m),DG60015.POL,D-1913,1990,360,525,15m,110
114,DG-600 (17m),DG60017.POL,D-1666,1989,360,525,18m,113
53,DG-600 (15m),DG601589.POL,D-1666,1989,360,525,15m,110
78,DG-800S (18m),DG800_18.POL,D-8308,1998,362,525,18m,118
,Diamant (16.5m),DIAMA165.POL,HB-994,1981,369,440,18m,108
467,Discus a,DISCUSA.POL,D-6111,1984,372,525,Std,107
468,Discus b,DISCUSB.POL,D-8111,1984,372,525,Std,107
468,Discus b,DISCUSEZ.POL,D-4054,1994,372,525,Std,107
451,Discus 2a 15m WL,DISCUS2a15m.POL,D-9212,2000,338,525,Std,108
348,Duo Discus,DUODISCU.POL,D-8111,1994,600,750,Doppel,110
155,Elfe S-3,ELFES3.POL,HB-902,1968,320,320,Club,96
156,Elfe S-4,ELFES4.POL,D-6301,1974,351,354,Club,96
253,Falcon,FALCON.POL,D-7775,1985,330,450,Club,103,
,fs23,FS23.POL,D-8011,1968,190,190,Club,00
179,fs25,FS25.POL,D-8141,1971,240,250,Club,92
,fs29,FS29.POL,D-2929,1975,447,450,Offen,00
282,fs31,FS31.POL,D-1131,1984,530,560,Doppel,99
47,fs32,FS32.POL,D-1632,1993,375,500,15m,108
47,fs32 WL,FS32WL.POL,D-1632,1993,375,500,15m,109
,FVA 20,FVA20.POL,D-6020,1980,382,382,Club,00
180,G 102 Club Astir IIIb,G102CLUB.POL,D-6950,1983,345,450,Club,91
173,G 102 Jeans Astir,JEANSAST.POL,D-7642,1978,345,450,Club,93
325,G 109,G109.POL,D-KLFM,1982,825,825,TMG,92
216,H30,H30.POL,D-8415,1985,120,210,Club,84
186,Glasflügel H-101 Salto (13.6m),H101SALT.POL,D-2040,1971,272,280,Club,88
151,Glasflügel H-201 Std.-Libelle 1971,H201.POL,D-0697,1971,270,290,Club,98
151,Glasflügel H-201 Std.-Libelle 1971,H201_1971.POL,D-0082,1971,270,290,Club,98
154,Glasflügel 205 Club-Libelle,H205.POL,D-3695,1974,315,350,Club,96
59,Glasflügel H-301 Libelle,H301.POL,D-9412,1971,270,300,15m,100
37,Glasflügel 304,H304.POL,D-4186,1981,325,450,15m,110
120,Glasflügel 304 (17m),H30417.POL,D-6863,1984,350,450,18m,112
123,Glasflügel 401 Kestrel,H401.POL,D-0475,1973,350,400,18m,110
427,Glasflügel 604 Hestrel (22m),H604.POL,D-2085,1985,545,650,Offen,114
,ICA IS-28B2,IS28B2.POL,D-2843,1982,555,590,Doppel,84
,ICA IS-29D2,IS29D2.POL,OY-XJH,1978,330,360,Std,96
435,SZD-42-2 Jantar 2B,JANTAR2B.POL,D-3170,1979,446,649,Offen,113
181,SZD-51-1 Junior,JUNIOR.POL,D-5113,1987,315,380,Club,90
364,Janus (18.2m),JANUS.POL,D-3111,1975,550,620,Doppel,102
357,Janus C (20m FG),JANUSC.POL,D-7997,1980,585,700,Doppel,106
224,Ka 6 CR,KA6CR.POL,D-4390,1963,275,300,Club,82
211,Ka 6 E,KA6E.POL,D-3657,1974,275,300,Club,86
509,K7 Rhoenadler,K7.POL,D-1800,1964,465,480,Doppel,78
240,K 8,KA8.POL,D-1590,1963,280,310,Club,76
177,Valentin KIWI (18m),KIWI18.POL,D-KHBB,1990,295,380,18m,00
303,Focke-Wulf Kranich 3,KRANICH3.POL,D-1398,1964,510,550,Doppel,80
549,L-13 Blanik,L13.POL,-,-,472,500,Doppel,78
304,L-23 SuperBlanik,L23.POL,-,-,472,500,Doppel,80
232,LCF 2,LCF2.POL,D-6466,1975,280,300,Club,80
146,LS1-c,LS1C.POL,D-0558,1971,290,312,Club,98
146,LS1-c,LS1CII.POL,D-0558,1971,290,312,Club,98
271,LS1-f,LS1F.POL,D-3252,1975,320,390,Club,100
50,LS3,LS3.POL,D-6654,1975,360,472,15m,107
51,LS3a 1984,LS3A_1984.POL,D-3896,1984,333,472,15m,107
51,LS3a,LS3A78.POL,D-3917,1978,333,472,15m,107
126,LS3 (17m),LS317.POL,D-6775,1979,345,370,18m,109
478,LS4,LS4.POL,D-2628,1981,356,525,Club,104
424,LS5,LS5.POL,D-7742,1991,377,450,Offen,118
32,LS6 1986,LS6_1986.POL,D-1497,1986,350,525,15m,111
32,LS6 1990,LS6_1990.POL,D-0322,1990,350,525,15m,111
98,LS6-c (18m),LS6C_18.POL,D-9011,1995,370,525,18m,117
472,LS7,LS790.POL,D-5774,1990,325,486,Std,106
112,LS8 18m,LS8_18.POL,D-2435,1997,365,575,18m,114
52,Mini-Nimbus,MINIMB79.POL,D-4986,1979,325,500,15m,107
52,Mini-Nimbus HS-7,MINIMBUS.POL,D-4818,1978,325,450,15m,107
160,Strauber Mistral,MISTRAL.POL,D-4998,1976,325,350,Club,96
160,ISF Mistral-C,MISTRALC.POL,D-4994,1978,325,350,Club,96
70,ASG 29 (18m),ASG29-18.POL,D-0601,2019,370,600,18m,119
66,Ventus 3 (18m),Ventus3.POL,D-KKAL,2019,400,600,18m,121
394,Quintus M,QuintusM.POL,D-KMPM,2019,590,850,Offen,125
398,JS1 C (21m),JS-MD-1C-21m.POL,D-KDTM,2018,370,600,Offen,122
63,JS3 (18m),JS-MD-3_18m.POL,D-KBFE,2020,400,600,18m,119
532,LAK-17 MINI,Lak17miniFES.POL,D-KIBG,2018,303,350,Club,103
12,ASW 27,ASW27-2018.POL,D-8255,2018,335,500,15m,114
531,Russia 2,RUSSIA2.POL,R-01240,1992,230,250,Club,00
406,ASH 31 Mi (21m),ASH31Mi.POL,D-KMBM,2019,525,700,Offen,120
53,Glasflügel 303 Mosquito,MOSQUITO.POL,D-1303,1978,340,450,Club,107
446,Mue27,MUE27.POL,D-2827,1979,900,900,Offen,106
430,Nimbus 2,NIMBUS2.POL,D-2111,1973,405,650,Offen,114
577,Nimbus 3D (25m),NIMBUS3D.POL,D-KEXX,1987,665,820,Offen,120
422,Nimbus 3 (22.9m),NIMBUS3K.POL,D-3531,1983,470,750,Offen,119
409,Nimbus 3 (24.5m),NIMBUS3L.POL,D-3531,1983,480,750,Offen,121
259,Pegase 101A,PEGASE.POL,HB-1667,1984,344.4,505,Club,102
259,Pegase 101,PEGASE97.POL,F-CHKH,1996,344.4,505,Club,102
56,PIK-20D,PIK20D.POL,D-5990,1978,325,450,Club,104
57,PIK-20E,PIK20E.POL,D-KIBA,1979,410,450,Club,104
202,SZD-30 Pirat,PIRAT.POL,D-3660,1969,350,370,Club,86
300,SZD-50 Puchacz,PUCHACZ.POL,D-1650,1980,545,570,Doppel,84
213,PZL PW-5,PW5.POL,SP-P5757,1992,275,300,Club,85
443,Stemme S10,S10.POL,D-KGCQ,1992,825,850,Offen,112
157,Glasflügel 101 Salto (15.5m),SALTO15M.POL,D-2220,1976,275,280,Club,96
198,SB 5,SB5.POL,D-XXXX,1965,293,300,Club,86
,SB 8,SB8.POL,D-6015,1991,310,400,18m,00
425,SB 10 26m 1982,SB10.POL,D-6085,1982,845,888,Offen,118
425,SB 10 26m 1973,SB1073.POL,D-6085,1973,845,888,Offen,118
46,SB 11 1979,SB11.POL,D-1177,1979,385,470,15m,108
46,SB 11 1988,SB1188.POL,D-1177,1988,385,470,15m,108
46,SB 11 1991,SB1191.POL,D-1177,1991,385,470,15m,108
260,SB 12 2016,SB12-2016-2.POL,D-1225,2016,328,450,Club,103
260,SB 12 1981,SB12.POL,D-1225,1981,328,450,Club,103
,SB 13,SB13.POL,D-1113,1995,348,450,Std,00
,SB 14,SB14_2012.POL,D-9814,2012,375,541,18m,118
199,Scheibe SF 27 (15m),SF27A.POL,D-6068,1969,315,350,Club,86
201,Scheibe SF 30 Club-Spatz,SF30.POL,D-3697,1974,265,265,Club,86
298,Scheibe SF 34 Delphin,SF34.POL,D-1134,1981,520,540,Doppel,86
204,L-33 Solo,SOLO-L33.POL,OK-2921,1992,300,340,Club,86
55,G 104 Speed Astir,SPASTIRC_2.POL,D-4222,1980,350,400,15m,105
603,SparrowHawk R 13.5m m Winglets,SPHawk_13k5m.POL,N 5122R,2015,190,230,13.5m,00
275,G 102 Std. Astir 2,STASTIR2.POL,D-4885,1980,350,450,Club,100
134,Std. Cirrus,STDCIRRU.POL,D-XXXX,1111,292,390,Club,99
134,Std. Cirrus,STDCIRRUS_2011.POL,D-6607,2011,292,390,Club,99
278,SZD-48 Jantar Std. 2,STDJANT2.POL,SP-3170,1979,337,520,Club,100
519,SZD-48 Jantar Std. 3,STDJANT3.POL,HB-1851,1987,337,540,Club,100
519,SZD-48 Jantar Std.,STJANTAR.POL,SE-TOI,1976,337,520,Club,100
475,SZD-55-1 Promyk,SZD55.POL,SP-3584,1993,305,500,Std,106
31,SZD-56 Diana,SZD56.POL,SP-3564,1993,272,500,15m,112
522,Slingsby T59D Kestrel 19,T59D.POL,D-5999,1975,420,472,Offen,112
291,G 103 Twin I (EZ),TWIN1.POL,D-4843,1982,580,650,Doppel,94
296,G 103 Twin I,TWIN78.POL,D-4587,1978,580,650,Doppel,92
291,G 103 Twin I (EZ),TWINI.POL,D-4843,1982,580,650,Doppel,94
288,G 103 Twin III (18m),TWINIII.POL,D-4279,1986,550,600,Doppel,97
187,PIK-16 Vasama,VASAMA.POL,OY-BXB,1966,256,281,Club,88
105,Ventus cT (17.6m),VENT_176.POL,D-KITL,1990,343,500,18m,115
116,Ventus a (16.6m),VENTA166.POL,D-5335,1984,333,430,18m,113
44,Ventus cT (15m WL),VentusCT_WL_1991.pol,D-KITL,1991,348,430,15m,110
15,Ventus 2a 1997,Ventus2a_1997.pol,D-9669,1997,330,525,15m,114
15,Ventus 2a 1998,Ventus2a_1998.pol,D-6996,1998,330,525,15m,114
40,Ventus a (15m),VENTUSA.POL,D-7072,1981,340,525,15m,110
41,Ventus b (15m),VENTUSB.POL,D-4060,1981,340,525,15m,110
163,Orlican VSO 10 EZ,VSO10.POL,D-XXXX,1111,340,380,Std,96
171,Orlican VSO 10C FG,VSO10C.POL,D-XXXX,1111,340,380,Std,94
336,ASG 32 Mi,ASG32.POL,D-KBAS,2018,645,850,Doppel,114
151,Std Libelle 201B,StdLibelle201B_2018.POL,D-1178,2018,290,350,Club,98
447,ASW 28 (15m),ASW28_2001.POL,D-6734,2001,325,525,Std,108
459,LS 8 neo 2016,LS8_neo_2016.POL,D-8994,2016,365,525,Std,108
447,ASW 28 (15m),ASW28-15_2003.POL,D-3618,2003,325,525,Std,108
457,LAK-19 (15m),LAK19_15m.POL,DLY-GDZ,2003,310,500,Std,108
111,LAK-19 (18m),LAK19_18m.POL,DLY-GDZ,2003,316,500,18m,114
281,G 103 Twin III (20m),Twin3_20m.POL,D-8555,1995,580,650,Doppel,99
82,HPH 304S Shark,HPH304_Shark_18m.POL,OK-1011,2012,370,600,18m,118
106,ASW 28 (18m) 2005,ASW28-18E_2005.POL,D-KPAS,2005,360,575,18m,114
106,ASW 28 (18m) 2007,ASW28-18_2007.POL,D-9118,2007,360,575,18m,114
340,Arcus T,ArcusT_2011.POL,D-KARC,2011,575,800,Doppel,114
373,ETA,ETA_D-KETA.POL,D-KETA,2002,930,970,Offen,125
345,DG-1000 (20m),DG1000_20m.POL,D-1006,2003,591,750,Doppel,110
90,Ventus 2cT (18m),Ventus2cT_2002.POL,D-KKIK,2002,400,525,18m,118
90,Ventus 2cT (18m) NEW,VENTUS2ct_18_new.POL,D-KKIK,2002,432.4,525,18m,118
458,LS8,LS8.POL,D-1871,1994,365,525,Std,108
119,ASW20CL,ASW20CL.POL,D-8709,1985,275,430,18m,112
